起报时间,预报时间,实际功率 (MW),FusionModel预测功率 (MW)
2018-08-26,2018-08-27 01:30:00,2.657812,2.7516758
2018-08-26,2018-08-27 01:45:00,2.844141,2.9809704
2018-08-26,2018-08-27 02:00:00,3.121875,3.150416
2018-08-26,2018-08-27 02:15:00,3.287109,3.3174522
2018-08-26,2018-08-27 02:30:00,2.309766,3.4769523
2018-08-26,2018-08-27 02:45:00,3.427734,3.5824785
2018-08-26,2018-08-27 03:00:00,2.211328,3.6433432
2018-08-26,2018-08-27 03:15:00,3.469922,3.7631226
2018-08-26,2018-08-27 03:30:00,3.15,3.7840838
2018-08-26,2018-08-27 03:45:00,3.410156,3.8043208
2018-08-26,2018-08-27 04:00:00,4.151953,3.8729186
2018-08-26,2018-08-27 04:15:00,3.670312000000001,3.8661425
2018-08-26,2018-08-27 04:30:00,3.596484,3.919773
2018-08-26,2018-08-27 04:45:00,3.723047,3.8871896
2018-08-26,2018-08-27 05:00:00,2.580469,3.786756
2018-08-26,2018-08-27 05:15:00,2.696484,3.751955
2018-08-26,2018-08-27 05:30:00,4.310156,3.698798
2018-08-26,2018-08-27 05:45:00,2.844141,3.5849013
2018-08-26,2018-08-27 06:00:00,3.4839839999999995,3.592461
2018-08-26,2018-08-27 06:15:00,3.596484,3.429978
2018-08-26,2018-08-27 06:30:00,3.336328,3.2357469
2018-08-26,2018-08-27 06:45:00,3.3679690000000004,3.091673
2018-08-26,2018-08-27 07:00:00,3.026953,2.9008336
2018-08-26,2018-08-27 07:15:00,3.055078,2.747842
2018-08-26,2018-08-27 07:30:00,2.896875,2.501043
2018-08-26,2018-08-27 07:45:00,2.735156,2.2943294
2018-08-26,2018-08-27 08:00:00,2.376562,2.0666268
2018-08-26,2018-08-27 08:15:00,1.7015619999999998,1.8005035
2018-08-26,2018-08-27 08:30:00,2.288672,1.5636691
2018-08-26,2018-08-27 08:45:00,2.014453,1.3055212
2018-08-26,2018-08-27 09:00:00,0.6679689999999999,1.0812908
2018-08-26,2018-08-27 09:15:00,0.569531,0.84214383
2018-08-26,2018-08-27 09:30:00,0.569531,0.6838483
2018-08-26,2018-08-27 09:45:00,0.492188,0.5071777
2018-08-26,2018-08-27 10:00:00,0.428906,0.3074193
2018-08-26,2018-08-27 10:15:00,0.158203,0.15849648
2018-08-26,2018-08-27 10:30:00,0.035156,0.032029774
2018-08-26,2018-08-27 10:45:00,0.0,-0.012689374
2018-08-26,2018-08-27 11:00:00,0.0,-0.046813317
2018-08-26,2018-08-27 11:15:00,0.0,-0.07862115
2018-08-26,2018-08-27 11:30:00,0.0,-0.081639074
2018-08-26,2018-08-27 11:45:00,0.0,-0.07408404
2018-08-26,2018-08-27 12:00:00,0.0,-0.089235574
2018-08-26,2018-08-27 12:15:00,0.0,-0.084433794
2018-08-26,2018-08-27 12:30:00,0.0,-0.08074255
2018-08-26,2018-08-27 12:45:00,0.0,-0.06373532
2018-08-26,2018-08-27 13:00:00,0.0,-0.059417147
2018-08-26,2018-08-27 13:15:00,0.0,-0.0741422
2018-08-26,2018-08-27 13:30:00,0.0,-0.05841043
2018-08-26,2018-08-27 13:45:00,0.0,-0.07167242
2018-08-26,2018-08-27 14:00:00,0.0,-0.08716987
2018-08-26,2018-08-27 14:15:00,0.0,-0.07452935
2018-08-26,2018-08-27 14:30:00,0.0,-0.052619755
2018-08-26,2018-08-27 14:45:00,0.0,-0.035090953
2018-08-26,2018-08-27 15:00:00,0.0,-0.055664644
2018-08-26,2018-08-27 15:15:00,0.0,-0.04276234
2018-08-26,2018-08-27 15:30:00,0.0,-0.04588543
2018-08-26,2018-08-27 15:45:00,0.0,-0.03494887
2018-08-26,2018-08-27 16:00:00,0.0,-0.030263014
2018-08-26,2018-08-27 16:15:00,0.0,-0.030991301
2018-08-26,2018-08-27 16:30:00,0.0,-0.020180307
2018-08-26,2018-08-27 16:45:00,0.0,-0.013717756
2018-08-26,2018-08-27 17:00:00,0.0,-0.003550008
2018-08-26,2018-08-27 17:15:00,0.0,0.0059427395
2018-08-26,2018-08-27 17:30:00,0.0,0.0034202412
2018-08-26,2018-08-27 17:45:00,0.0,-0.0076303557
2018-08-26,2018-08-27 18:00:00,0.0,-0.014527857
2018-08-26,2018-08-27 18:15:00,0.0,-0.012059607
2018-08-26,2018-08-27 18:30:00,0.0,-0.012807118
2018-08-26,2018-08-27 18:45:00,0.0,-0.029082455
2018-08-26,2018-08-27 19:00:00,0.0,-0.028100193
2018-08-26,2018-08-27 19:15:00,0.0,-0.028011886
2018-08-26,2018-08-27 19:30:00,0.0,-0.03702823
2018-08-26,2018-08-27 19:45:00,0.0,-0.019166015
2018-08-26,2018-08-27 20:00:00,0.0,-0.038260613
2018-08-26,2018-08-27 20:15:00,0.0,-0.06450869
2018-08-26,2018-08-27 20:30:00,0.0,-0.063264996
2018-08-26,2018-08-27 20:45:00,0.0,-0.058484785
2018-08-26,2018-08-27 21:00:00,0.0,-0.05601996
2018-08-26,2018-08-27 21:15:00,0.0,-0.055154536
2018-08-26,2018-08-27 21:30:00,0.0,-0.03510994
2018-08-26,2018-08-27 21:45:00,0.0,-0.005473014
2018-08-26,2018-08-27 22:00:00,0.0035159999999999,0.009695299
2018-08-26,2018-08-27 22:15:00,0.0,0.054134034
2018-08-26,2018-08-27 22:30:00,0.196875,0.12554097
2018-08-26,2018-08-27 22:45:00,0.319922,0.23767379
2018-08-26,2018-08-27 23:00:00,0.341016,0.3538596
2018-08-26,2018-08-27 23:15:00,0.551953,0.5187489
2018-08-26,2018-08-27 23:30:00,0.566016,0.67783564
2018-08-26,2018-08-27 23:45:00,0.73125,0.8970844
2018-08-26,2018-08-28 00:00:00,0.935156,1.1274896
2018-08-26,2018-08-27 00:30:00,1.887891,1.672453
2018-08-26,2018-08-27 00:45:00,2.021484,1.9368459
2018-08-26,2018-08-27 01:00:00,2.285156,2.2006137
2018-08-26,2018-08-27 01:15:00,2.478516,2.4605994
2018-08-26,2018-08-27 01:30:00,2.657812,2.7258837
2018-08-26,2018-08-27 01:45:00,2.844141,2.936338
2018-08-26,2018-08-27 02:00:00,3.121875,3.1607547
2018-08-26,2018-08-27 02:15:00,3.287109,3.3160644
2018-08-26,2018-08-27 02:30:00,2.309766,3.4644136
2018-08-26,2018-08-27 02:45:00,3.427734,3.6083694
2018-08-26,2018-08-27 03:00:00,2.211328,3.694783
2018-08-26,2018-08-27 03:15:00,3.469922,3.7378802
2018-08-26,2018-08-27 03:30:00,3.15,3.8344364
2018-08-26,2018-08-27 03:45:00,3.410156,3.8455174
2018-08-26,2018-08-27 04:00:00,4.151953,3.8554943
2018-08-26,2018-08-27 04:15:00,3.670312000000001,3.91071
2018-08-26,2018-08-27 04:30:00,3.596484,3.8977077
2018-08-26,2018-08-27 04:45:00,3.723047,3.9325087
2018-08-26,2018-08-27 05:00:00,2.580469,3.9044511
2018-08-26,2018-08-27 05:15:00,2.696484,3.7948632
2018-08-26,2018-08-27 05:30:00,4.310156,3.761285
2018-08-26,2018-08-27 05:45:00,2.844141,3.6880066
2018-08-26,2018-08-27 06:00:00,3.4839839999999995,3.5746043
2018-08-26,2018-08-27 06:15:00,3.596484,3.5579133
2018-08-26,2018-08-27 06:30:00,3.336328,3.3950322
2018-08-26,2018-08-27 06:45:00,3.3679690000000004,3.1991901
2018-08-26,2018-08-27 07:00:00,3.026953,3.0320377
2018-08-26,2018-08-27 07:15:00,3.055078,2.828668
2018-08-26,2018-08-27 07:30:00,2.896875,2.6617334
2018-08-26,2018-08-27 07:45:00,2.735156,2.3982453
2018-08-26,2018-08-27 08:00:00,2.376562,2.1820762
2018-08-26,2018-08-27 08:15:00,1.7015619999999998,1.9411321
2018-08-26,2018-08-27 08:30:00,2.288672,1.6685153
2018-08-26,2018-08-27 08:45:00,2.014453,1.4314114
2018-08-26,2018-08-27 09:00:00,0.6679689999999999,1.1758649
2018-08-26,2018-08-27 09:15:00,0.569531,0.9662065
2018-08-26,2018-08-27 09:30:00,0.569531,0.7266254
2018-08-26,2018-08-27 09:45:00,0.492188,0.5878432
2018-08-26,2018-08-27 10:00:00,0.428906,0.42255613
2018-08-26,2018-08-27 10:15:00,0.158203,0.24513757
2018-08-26,2018-08-27 10:30:00,0.035156,0.116260424
2018-08-26,2018-08-27 10:45:00,0.0,0.011798121
2018-08-26,2018-08-27 11:00:00,0.0,-0.021833897
2018-08-26,2018-08-27 11:15:00,0.0,-0.039864026
2018-08-26,2018-08-27 11:30:00,0.0,-0.07155883
2018-08-26,2018-08-27 11:45:00,0.0,-0.06384956
2018-08-26,2018-08-27 12:00:00,0.0,-0.054348223
2018-08-26,2018-08-27 12:15:00,0.0,-0.065009505
2018-08-26,2018-08-27 12:30:00,0.0,-0.05277267
2018-08-26,2018-08-27 12:45:00,0.0,-0.053838205
2018-08-26,2018-08-27 13:00:00,0.0,-0.042124297
2018-08-26,2018-08-27 13:15:00,0.0,-0.0380957
2018-08-26,2018-08-27 13:30:00,0.0,-0.0503864
2018-08-26,2018-08-27 13:45:00,0.0,-0.0378894
2018-08-26,2018-08-27 14:00:00,0.0,-0.058945753
2018-08-26,2018-08-27 14:15:00,0.0,-0.075527236
2018-08-26,2018-08-27 14:30:00,0.0,-0.063749686
2018-08-26,2018-08-27 14:45:00,0.0,-0.042343378
2018-08-26,2018-08-27 15:00:00,0.0,-0.027464911
2018-08-26,2018-08-27 15:15:00,0.0,-0.05336973
2018-08-26,2018-08-27 15:30:00,0.0,-0.04380381
2018-08-26,2018-08-27 15:45:00,0.0,-0.046010867
2018-08-26,2018-08-27 16:00:00,0.0,-0.035052896
2018-08-26,2018-08-27 16:15:00,0.0,-0.038190983
2018-08-26,2018-08-27 16:30:00,0.0,-0.033820003
2018-08-26,2018-08-27 16:45:00,0.0,-0.026129156
2018-08-26,2018-08-27 17:00:00,0.0,-0.03152676
2018-08-26,2018-08-27 17:15:00,0.0,-0.010885656
2018-08-26,2018-08-27 17:30:00,0.0,-0.009958878
2018-08-26,2018-08-27 17:45:00,0.0,-0.018908791
2018-08-26,2018-08-27 18:00:00,0.0,-0.03553152
2018-08-26,2018-08-27 18:15:00,0.0,-0.035616845
2018-08-26,2018-08-27 18:30:00,0.0,-0.043128904
2018-08-26,2018-08-27 18:45:00,0.0,-0.051695272
2018-08-26,2018-08-27 19:00:00,0.0,-0.06607945
2018-08-26,2018-08-27 19:15:00,0.0,-0.06357002
2018-08-26,2018-08-27 19:30:00,0.0,-0.065809466
2018-08-26,2018-08-27 19:45:00,0.0,-0.0681967
2018-08-26,2018-08-27 20:00:00,0.0,-0.059432074
2018-08-26,2018-08-27 20:15:00,0.0,-0.07625781
2018-08-26,2018-08-27 20:30:00,0.0,-0.08964816
2018-08-26,2018-08-27 20:45:00,0.0,-0.09530428
2018-08-26,2018-08-27 21:00:00,0.0,-0.085603975
2018-08-26,2018-08-27 21:15:00,0.0,-0.07301219
2018-08-26,2018-08-27 21:30:00,0.0,-0.06321535
2018-08-26,2018-08-27 21:45:00,0.0,-0.026091628
2018-08-26,2018-08-27 22:00:00,0.0035159999999999,0.015746592
2018-08-26,2018-08-27 22:15:00,0.0,0.048474982
2018-08-26,2018-08-27 22:30:00,0.196875,0.110619485
2018-08-26,2018-08-27 22:45:00,0.319922,0.1958885
2018-08-26,2018-08-27 23:00:00,0.341016,0.3266212
2018-08-26,2018-08-27 23:15:00,0.551953,0.46787125
2018-08-26,2018-08-27 23:30:00,0.566016,0.64829147
2018-08-26,2018-08-27 23:45:00,0.73125,0.82215464
2018-08-26,2018-08-28 00:00:00,0.935156,1.0538591
2018-08-26,2018-08-28 00:15:00,1.873828,1.30055
2018-08-26,2018-08-27 00:45:00,2.021484,2.0524182
2018-08-26,2018-08-27 01:00:00,2.285156,2.3041787
2018-08-26,2018-08-27 01:15:00,2.478516,2.54495
2018-08-26,2018-08-27 01:30:00,2.657812,2.7822902
2018-08-26,2018-08-27 01:45:00,2.844141,3.0189757
2018-08-26,2018-08-27 02:00:00,3.121875,3.190269
2018-08-26,2018-08-27 02:15:00,3.287109,3.3765488
2018-08-26,2018-08-27 02:30:00,2.309766,3.4968855
2018-08-26,2018-08-27 02:45:00,3.427734,3.5978844
2018-08-26,2018-08-27 03:00:00,2.211328,3.7006245
2018-08-26,2018-08-27 03:15:00,3.469922,3.7488918
2018-08-26,2018-08-27 03:30:00,3.15,3.765875
2018-08-26,2018-08-27 03:45:00,3.410156,3.814164
2018-08-26,2018-08-27 04:00:00,4.151953,3.8000104
2018-08-26,2018-08-27 04:15:00,3.670312000000001,3.7850292
2018-08-26,2018-08-27 04:30:00,3.596484,3.8216708
2018-08-26,2018-08-27 04:45:00,3.723047,3.8007278
2018-08-26,2018-08-27 05:00:00,2.580469,3.810382
2018-08-26,2018-08-27 05:15:00,2.696484,3.765442
2018-08-26,2018-08-27 05:30:00,4.310156,3.6407394
2018-08-26,2018-08-27 05:45:00,2.844141,3.5977507
2018-08-26,2018-08-27 06:00:00,3.4839839999999995,3.4925568
2018-08-26,2018-08-27 06:15:00,3.596484,3.3572671
2018-08-26,2018-08-27 06:30:00,3.336328,3.305023
2018-08-26,2018-08-27 06:45:00,3.3679690000000004,3.125843
2018-08-26,2018-08-27 07:00:00,3.026953,2.8986344
2018-08-26,2018-08-27 07:15:00,3.055078,2.713474
2018-08-26,2018-08-27 07:30:00,2.896875,2.4875894
2018-08-26,2018-08-27 07:45:00,2.735156,2.2868733
2018-08-26,2018-08-27 08:00:00,2.376562,2.0001717
2018-08-26,2018-08-27 08:15:00,1.7015619999999998,1.7807853
2018-08-26,2018-08-27 08:30:00,2.288672,1.5215796
2018-08-26,2018-08-27 08:45:00,2.014453,1.2555536
2018-08-26,2018-08-27 09:00:00,0.6679689999999999,1.0304861
2018-08-26,2018-08-27 09:15:00,0.569531,0.78236645
2018-08-26,2018-08-27 09:30:00,0.569531,0.60420007
2018-08-26,2018-08-27 09:45:00,0.492188,0.39633715
2018-08-26,2018-08-27 10:00:00,0.428906,0.29614672
2018-08-26,2018-08-27 10:15:00,0.158203,0.16594431
2018-08-26,2018-08-27 10:30:00,0.035156,0.03586962
2018-08-26,2018-08-27 10:45:00,0.0,-0.04941341
2018-08-26,2018-08-27 11:00:00,0.0,-0.11037984
2018-08-26,2018-08-27 11:15:00,0.0,-0.12425317
2018-08-26,2018-08-27 11:30:00,0.0,-0.09981051
2018-08-26,2018-08-27 11:45:00,0.0,-0.11503914
2018-08-26,2018-08-27 12:00:00,0.0,-0.08666188
2018-08-26,2018-08-27 12:15:00,0.0,-0.06652027
2018-08-26,2018-08-27 12:30:00,0.0,-0.06196911
2018-08-26,2018-08-27 12:45:00,0.0,-0.037785485
2018-08-26,2018-08-27 13:00:00,0.0,-0.034573805
2018-08-26,2018-08-27 13:15:00,0.0,-0.017211284
2018-08-26,2018-08-27 13:30:00,0.0,-0.00022947043
2018-08-26,2018-08-27 13:45:00,0.0,-0.001503095
2018-08-26,2018-08-27 14:00:00,0.0,0.009697333
2018-08-26,2018-08-27 14:15:00,0.0,-0.0053398833
2018-08-26,2018-08-27 14:30:00,0.0,-0.010447413
2018-08-26,2018-08-27 14:45:00,0.0,-0.007542953
2018-08-26,2018-08-27 15:00:00,0.0,0.01298102
2018-08-26,2018-08-27 15:15:00,0.0,0.023730107
2018-08-26,2018-08-27 15:30:00,0.0,0.007871568
2018-08-26,2018-08-27 15:45:00,0.0,0.0038042068
2018-08-26,2018-08-27 16:00:00,0.0,-0.0080290735
2018-08-26,2018-08-27 16:15:00,0.0,0.0039015263
2018-08-26,2018-08-27 16:30:00,0.0,-0.0044810623
2018-08-26,2018-08-27 16:45:00,0.0,-0.014323287
2018-08-26,2018-08-27 17:00:00,0.0,-0.020805411
2018-08-26,2018-08-27 17:15:00,0.0,-0.03590688
2018-08-26,2018-08-27 17:30:00,0.0,-0.004967034
2018-08-26,2018-08-27 17:45:00,0.0,-0.01231242
2018-08-26,2018-08-27 18:00:00,0.0,-0.023817614
2018-08-26,2018-08-27 18:15:00,0.0,-0.036264196
2018-08-26,2018-08-27 18:30:00,0.0,-0.02446258
2018-08-26,2018-08-27 18:45:00,0.0,-0.045674723
2018-08-26,2018-08-27 19:00:00,0.0,-0.042590864
2018-08-26,2018-08-27 19:15:00,0.0,-0.047044143
2018-08-26,2018-08-27 19:30:00,0.0,-0.042970493
2018-08-26,2018-08-27 19:45:00,0.0,-0.04073087
2018-08-26,2018-08-27 20:00:00,0.0,-0.028853007
2018-08-26,2018-08-27 20:15:00,0.0,-0.02394671
2018-08-26,2018-08-27 20:30:00,0.0,-0.041524816
2018-08-26,2018-08-27 20:45:00,0.0,-0.06116269
2018-08-26,2018-08-27 21:00:00,0.0,-0.057980973
2018-08-26,2018-08-27 21:15:00,0.0,-0.059490047
2018-08-26,2018-08-27 21:30:00,0.0,-0.040218495
2018-08-26,2018-08-27 21:45:00,0.0,-0.015598531
2018-08-26,2018-08-27 22:00:00,0.0035159999999999,0.028550848
2018-08-26,2018-08-27 22:15:00,0.0,0.07993679
2018-08-26,2018-08-27 22:30:00,0.196875,0.1377116
2018-08-26,2018-08-27 22:45:00,0.319922,0.22435693
2018-08-26,2018-08-27 23:00:00,0.341016,0.33318636
2018-08-26,2018-08-27 23:15:00,0.551953,0.49334973
2018-08-26,2018-08-27 23:30:00,0.566016,0.66218543
2018-08-26,2018-08-27 23:45:00,0.73125,0.8686466
2018-08-26,2018-08-28 00:00:00,0.935156,1.0646712
2018-08-26,2018-08-28 00:15:00,1.873828,1.3120645
2018-08-26,2018-08-28 00:30:00,1.226953,1.5640882
2018-08-26,2018-08-27 01:00:00,2.285156,2.1767325
2018-08-26,2018-08-27 01:15:00,2.478516,2.4087996
2018-08-26,2018-08-27 01:30:00,2.657812,2.6200624
2018-08-26,2018-08-27 01:45:00,2.844141,2.8403735
2018-08-26,2018-08-27 02:00:00,3.121875,3.043924
2018-08-26,2018-08-27 02:15:00,3.287109,3.1951547
2018-08-26,2018-08-27 02:30:00,2.309766,3.3512788
2018-08-26,2018-08-27 02:45:00,3.427734,3.4564557
2018-08-26,2018-08-27 03:00:00,2.211328,3.533015
2018-08-26,2018-08-27 03:15:00,3.469922,3.6189525
2018-08-26,2018-08-27 03:30:00,3.15,3.6479287
2018-08-26,2018-08-27 03:45:00,3.410156,3.6667566
2018-08-26,2018-08-27 04:00:00,4.151953,3.695482
2018-08-26,2018-08-27 04:15:00,3.670312000000001,3.669598
2018-08-26,2018-08-27 04:30:00,3.596484,3.6435072
2018-08-26,2018-08-27 04:45:00,3.723047,3.6657822
2018-08-26,2018-08-27 05:00:00,2.580469,3.647342
2018-08-26,2018-08-27 05:15:00,2.696484,3.636027
2018-08-26,2018-08-27 05:30:00,4.310156,3.5698135
2018-08-26,2018-08-27 05:45:00,2.844141,3.4422584
2018-08-26,2018-08-27 06:00:00,3.4839839999999995,3.3894868
2018-08-26,2018-08-27 06:15:00,3.596484,3.2649832
2018-08-26,2018-08-27 06:30:00,3.336328,3.1208515
2018-08-26,2018-08-27 06:45:00,3.3679690000000004,3.0488796
2018-08-26,2018-08-27 07:00:00,3.026953,2.8582032
2018-08-26,2018-08-27 07:15:00,3.055078,2.6200354
2018-08-26,2018-08-27 07:30:00,2.896875,2.4282076
2018-08-26,2018-08-27 07:45:00,2.735156,2.1964629
2018-08-26,2018-08-27 08:00:00,2.376562,1.9826288
2018-08-26,2018-08-27 08:15:00,1.7015619999999998,1.6936558
2018-08-26,2018-08-27 08:30:00,2.288672,1.4815655
2018-08-26,2018-08-27 08:45:00,2.014453,1.2273091
2018-08-26,2018-08-27 09:00:00,0.6679689999999999,0.9791089
2018-08-26,2018-08-27 09:15:00,0.569531,0.7701788
2018-08-26,2018-08-27 09:30:00,0.569531,0.54511297
2018-08-26,2018-08-27 09:45:00,0.492188,0.39265648
2018-08-26,2018-08-27 10:00:00,0.428906,0.2159792
2018-08-26,2018-08-27 10:15:00,0.158203,0.14974791
2018-08-26,2018-08-27 10:30:00,0.035156,0.04680931
2018-08-26,2018-08-27 10:45:00,0.0,-0.04548999
2018-08-26,2018-08-27 11:00:00,0.0,-0.10488659
2018-08-26,2018-08-27 11:15:00,0.0,-0.13741061
2018-08-26,2018-08-27 11:30:00,0.0,-0.14036879
2018-08-26,2018-08-27 11:45:00,0.0,-0.10216658
2018-08-26,2018-08-27 12:00:00,0.0,-0.11267233
2018-08-26,2018-08-27 12:15:00,0.0,-0.0819845
2018-08-26,2018-08-27 12:30:00,0.0,-0.067599416
2018-08-26,2018-08-27 12:45:00,0.0,-0.073534
2018-08-26,2018-08-27 13:00:00,0.0,-0.052505642
2018-08-26,2018-08-27 13:15:00,0.0,-0.053737994
2018-08-26,2018-08-27 13:30:00,0.0,-0.03967605
2018-08-26,2018-08-27 13:45:00,0.0,-0.029058892
2018-08-26,2018-08-27 14:00:00,0.0,-0.034070507
2018-08-26,2018-08-27 14:15:00,0.0,-0.022833645
2018-08-26,2018-08-27 14:30:00,0.0,-0.035430767
2018-08-26,2018-08-27 14:45:00,0.0,-0.030270323
2018-08-26,2018-08-27 15:00:00,0.0,-0.03286901
2018-08-26,2018-08-27 15:15:00,0.0,-0.012524754
2018-08-26,2018-08-27 15:30:00,0.0,-0.007017553
2018-08-26,2018-08-27 15:45:00,0.0,-0.008974403
2018-08-26,2018-08-27 16:00:00,0.0,-0.016224116
2018-08-26,2018-08-27 16:15:00,0.0,-0.024134353
2018-08-26,2018-08-27 16:30:00,0.0,-0.014839724
