起报时间,预报时间,实际功率 (MW),PureLSTM预测功率 (MW)
2018-08-26,2018-08-27 10:00:00,0.428906,0.08227193
2018-08-26,2018-08-27 10:15:00,0.158203,0.03975423
2018-08-26,2018-08-27 10:30:00,0.035156,0.0011768416
2018-08-26,2018-08-27 10:45:00,0.0,-0.005247267
2018-08-26,2018-08-27 11:00:00,0.0,0.0020021661
2018-08-26,2018-08-27 11:15:00,0.0,0.01630728
2018-08-26,2018-08-27 11:30:00,0.0,0.0018430203
2018-08-26,2018-08-27 11:45:00,0.0,-0.0027110428
2018-08-26,2018-08-27 12:00:00,0.0,0.010596395
2018-08-26,2018-08-27 12:15:00,0.0,0.027578209
2018-08-26,2018-08-27 12:30:00,0.0,0.026660994
2018-08-26,2018-08-27 12:45:00,0.0,0.024550408
2018-08-26,2018-08-27 13:00:00,0.0,0.015363574
2018-08-26,2018-08-27 13:15:00,0.0,-0.0035548657
2018-08-26,2018-08-27 13:30:00,0.0,-0.002105862
2018-08-26,2018-08-27 13:45:00,0.0,-0.015788764
2018-08-26,2018-08-27 14:00:00,0.0,0.0060153306
2018-08-26,2018-08-27 14:15:00,0.0,-0.011469673
2018-08-26,2018-08-27 14:30:00,0.0,-0.011086773
2018-08-26,2018-08-27 14:45:00,0.0,0.011227816
2018-08-26,2018-08-27 15:00:00,0.0,0.031056888
2018-08-26,2018-08-27 15:15:00,0.0,0.040219516
2018-08-26,2018-08-27 15:30:00,0.0,0.062892176
2018-08-26,2018-08-27 15:45:00,0.0,0.06900666
2018-08-26,2018-08-27 16:00:00,0.0,0.072763294
2018-08-26,2018-08-27 16:15:00,0.0,0.05159286
2018-08-26,2018-08-27 16:30:00,0.0,0.033871666
2018-08-26,2018-08-27 16:45:00,0.0,0.027336918
2018-08-26,2018-08-27 17:00:00,0.0,0.0092347115
2018-08-26,2018-08-27 17:15:00,0.0,-0.003749892
2018-08-26,2018-08-27 17:30:00,0.0,-0.009620875
2018-08-26,2018-08-27 17:45:00,0.0,-0.004557751
2018-08-26,2018-08-27 18:00:00,0.0,0.0017939359
2018-08-26,2018-08-27 18:15:00,0.0,0.0038837492
2018-08-26,2018-08-27 18:30:00,0.0,-0.003606692
2018-08-26,2018-08-27 18:45:00,0.0,0.024116859
2018-08-26,2018-08-27 19:00:00,0.0,0.02105787
2018-08-26,2018-08-27 19:15:00,0.0,0.034264587
2018-08-26,2018-08-27 19:30:00,0.0,0.04756706
2018-08-26,2018-08-27 19:45:00,0.0,0.031580962
2018-08-26,2018-08-27 20:00:00,0.0,0.02701588
2018-08-26,2018-08-27 20:15:00,0.0,0.028247016
2018-08-26,2018-08-27 20:30:00,0.0,0.018849134
2018-08-26,2018-08-27 20:45:00,0.0,0.011248972
2018-08-26,2018-08-27 21:00:00,0.0,-0.003944034
2018-08-26,2018-08-27 21:15:00,0.0,-0.019927729
2018-08-26,2018-08-27 21:30:00,0.0,-0.010983553
2018-08-26,2018-08-27 21:45:00,0.0,0.015262162
2018-08-26,2018-08-27 22:00:00,0.0035159999999999,0.047205456
2018-08-26,2018-08-27 22:15:00,0.0,0.11488281
2018-08-26,2018-08-27 22:30:00,0.196875,0.1918652
2018-08-26,2018-08-27 22:45:00,0.319922,0.29445404
2018-08-26,2018-08-27 23:00:00,0.341016,0.44033623
2018-08-26,2018-08-27 23:15:00,0.551953,0.6110903
2018-08-26,2018-08-27 23:30:00,0.566016,0.8184523
2018-08-26,2018-08-27 23:45:00,0.73125,1.0361863
2018-08-26,2018-08-28 00:00:00,0.935156,1.2759461
2018-08-26,2018-08-27 00:30:00,1.887891,1.4982926
2018-08-26,2018-08-27 00:45:00,2.021484,1.6272963
2018-08-26,2018-08-27 01:00:00,2.285156,1.7530856
2018-08-26,2018-08-27 01:15:00,2.478516,1.8536029
2018-08-26,2018-08-27 01:30:00,2.657812,1.992755
2018-08-26,2018-08-27 01:45:00,2.844141,2.1518369
2018-08-26,2018-08-27 02:00:00,3.121875,2.2944927
2018-08-26,2018-08-27 02:15:00,3.287109,2.442724
2018-08-26,2018-08-27 02:30:00,2.309766,2.5383081
2018-08-26,2018-08-27 02:45:00,3.427734,2.6648548
2018-08-26,2018-08-27 03:00:00,2.211328,2.7794034
2018-08-26,2018-08-27 03:15:00,3.469922,2.8399618
2018-08-26,2018-08-27 03:30:00,3.15,2.954714
2018-08-26,2018-08-27 03:45:00,3.410156,3.0217268
2018-08-26,2018-08-27 04:00:00,4.151953,3.0647204
2018-08-26,2018-08-27 04:15:00,3.670312000000001,3.126452
2018-08-26,2018-08-27 04:30:00,3.596484,3.1210823
2018-08-26,2018-08-27 04:45:00,3.723047,3.152159
2018-08-26,2018-08-27 05:00:00,2.580469,3.1871636
2018-08-26,2018-08-27 05:15:00,2.696484,3.2266264
2018-08-26,2018-08-27 05:30:00,4.310156,3.2164216
2018-08-26,2018-08-27 05:45:00,2.844141,3.1582615
2018-08-26,2018-08-27 06:00:00,3.4839839999999995,3.076907
2018-08-26,2018-08-27 06:15:00,3.596484,3.040465
2018-08-26,2018-08-27 06:30:00,3.336328,2.9322116
2018-08-26,2018-08-27 06:45:00,3.3679690000000004,2.7994528
2018-08-26,2018-08-27 07:00:00,3.026953,2.673893
2018-08-26,2018-08-27 07:15:00,3.055078,2.5134635
2018-08-26,2018-08-27 07:30:00,2.896875,2.3424742
2018-08-26,2018-08-27 07:45:00,2.735156,2.137473
2018-08-26,2018-08-27 08:00:00,2.376562,1.8970087
2018-08-26,2018-08-27 08:15:00,1.7015619999999998,1.6713217
2018-08-26,2018-08-27 08:30:00,2.288672,1.3810794
2018-08-26,2018-08-27 08:45:00,2.014453,1.1338394
2018-08-26,2018-08-27 09:00:00,0.6679689999999999,0.9041142
2018-08-26,2018-08-27 09:15:00,0.569531,0.67474383
2018-08-26,2018-08-27 09:30:00,0.569531,0.4490585
2018-08-26,2018-08-27 09:45:00,0.492188,0.3030185
2018-08-26,2018-08-27 10:00:00,0.428906,0.18840478
2018-08-26,2018-08-27 10:15:00,0.158203,0.087350465
2018-08-26,2018-08-27 10:30:00,0.035156,0.041769113
2018-08-26,2018-08-27 10:45:00,0.0,0.0027958602
2018-08-26,2018-08-27 11:00:00,0.0,-0.0053465124
2018-08-26,2018-08-27 11:15:00,0.0,0.0011987016
2018-08-26,2018-08-27 11:30:00,0.0,0.015878558
2018-08-26,2018-08-27 11:45:00,0.0,-0.00085104257
2018-08-26,2018-08-27 12:00:00,0.0,-0.0064010248
2018-08-26,2018-08-27 12:15:00,0.0,0.003579352
2018-08-26,2018-08-27 12:30:00,0.0,0.021989986
2018-08-26,2018-08-27 12:45:00,0.0,0.019033954
2018-08-26,2018-08-27 13:00:00,0.0,0.016133636
2018-08-26,2018-08-27 13:15:00,0.0,0.005213551
2018-08-26,2018-08-27 13:30:00,0.0,-0.016529098
2018-08-26,2018-08-27 13:45:00,0.0,-0.014130905
2018-08-26,2018-08-27 14:00:00,0.0,-0.030589059
2018-08-26,2018-08-27 14:15:00,0.0,-0.008437708
2018-08-26,2018-08-27 14:30:00,0.0,-0.027456284
2018-08-26,2018-08-27 14:45:00,0.0,-0.023584615
2018-08-26,2018-08-27 15:00:00,0.0,0.005057633
2018-08-26,2018-08-27 15:15:00,0.0,0.022865526
2018-08-26,2018-08-27 15:30:00,0.0,0.034134626
2018-08-26,2018-08-27 15:45:00,0.0,0.05710394
2018-08-26,2018-08-27 16:00:00,0.0,0.06339956
2018-08-26,2018-08-27 16:15:00,0.0,0.06500499
2018-08-26,2018-08-27 16:30:00,0.0,0.042170122
2018-08-26,2018-08-27 16:45:00,0.0,0.026727423
2018-08-26,2018-08-27 17:00:00,0.0,0.019258112
2018-08-26,2018-08-27 17:15:00,0.0,0.00071677566
2018-08-26,2018-08-27 17:30:00,0.0,-0.015802242
2018-08-26,2018-08-27 17:45:00,0.0,-0.021704108
2018-08-26,2018-08-27 18:00:00,0.0,-0.015448071
2018-08-26,2018-08-27 18:15:00,0.0,-0.010262787
2018-08-26,2018-08-27 18:30:00,0.0,-0.006912127
2018-08-26,2018-08-27 18:45:00,0.0,-0.009017192
2018-08-26,2018-08-27 19:00:00,0.0,0.019228622
2018-08-26,2018-08-27 19:15:00,0.0,0.014955737
2018-08-26,2018-08-27 19:30:00,0.0,0.025558285
2018-08-26,2018-08-27 19:45:00,0.0,0.03780791
2018-08-26,2018-08-27 20:00:00,0.0,0.023747504
2018-08-26,2018-08-27 20:15:00,0.0,0.019408263
2018-08-26,2018-08-27 20:30:00,0.0,0.01549016
2018-08-26,2018-08-27 20:45:00,0.0,0.007565677
2018-08-26,2018-08-27 21:00:00,0.0,-0.00052053854
2018-08-26,2018-08-27 21:15:00,0.0,-0.010342418
2018-08-26,2018-08-27 21:30:00,0.0,-0.017496318
2018-08-26,2018-08-27 21:45:00,0.0,0.012381401
2018-08-26,2018-08-27 22:00:00,0.0035159999999999,0.05515763
2018-08-26,2018-08-27 22:15:00,0.0,0.11004232
2018-08-26,2018-08-27 22:30:00,0.196875,0.19914135
2018-08-26,2018-08-27 22:45:00,0.319922,0.30087185
2018-08-26,2018-08-27 23:00:00,0.341016,0.42781818
2018-08-26,2018-08-27 23:15:00,0.551953,0.59404033
2018-08-26,2018-08-27 23:30:00,0.566016,0.781497
2018-08-26,2018-08-27 23:45:00,0.73125,1.0021374
2018-08-26,2018-08-28 00:00:00,0.935156,1.2258751
2018-08-26,2018-08-28 00:15:00,1.873828,1.4684137
2018-08-26,2018-08-27 00:45:00,2.021484,1.5613441
2018-08-26,2018-08-27 01:00:00,2.285156,1.6717201
2018-08-26,2018-08-27 01:15:00,2.478516,1.7784563
2018-08-26,2018-08-27 01:30:00,2.657812,1.8603061
2018-08-26,2018-08-27 01:45:00,2.844141,1.9782664
2018-08-26,2018-08-27 02:00:00,3.121875,2.1142778
2018-08-26,2018-08-27 02:15:00,3.287109,2.2308817
2018-08-26,2018-08-27 02:30:00,2.309766,2.3549488
2018-08-26,2018-08-27 02:45:00,3.427734,2.4322453
2018-08-26,2018-08-27 03:00:00,2.211328,2.539338
2018-08-26,2018-08-27 03:15:00,3.469922,2.6394103
2018-08-26,2018-08-27 03:30:00,3.15,2.689008
2018-08-26,2018-08-27 03:45:00,3.410156,2.800391
2018-08-26,2018-08-27 04:00:00,4.151953,2.8648565
2018-08-26,2018-08-27 04:15:00,3.670312000000001,2.9131732
2018-08-26,2018-08-27 04:30:00,3.596484,2.9763513
2018-08-26,2018-08-27 04:45:00,3.723047,2.9788072
2018-08-26,2018-08-27 05:00:00,2.580469,3.0193026
2018-08-26,2018-08-27 05:15:00,2.696484,3.062611
2018-08-26,2018-08-27 05:30:00,4.310156,3.1065538
2018-08-26,2018-08-27 05:45:00,2.844141,3.1051347
2018-08-26,2018-08-27 06:00:00,3.4839839999999995,3.0488143
2018-08-26,2018-08-27 06:15:00,3.596484,2.9692285
2018-08-26,2018-08-27 06:30:00,3.336328,2.9316213
2018-08-26,2018-08-27 06:45:00,3.3679690000000004,2.8127253
2018-08-26,2018-08-27 07:00:00,3.026953,2.6694632
2018-08-26,2018-08-27 07:15:00,3.055078,2.5304084
2018-08-26,2018-08-27 07:30:00,2.896875,2.3570075
2018-08-26,2018-08-27 07:45:00,2.735156,2.1726325
2018-08-26,2018-08-27 08:00:00,2.376562,1.9609432
2018-08-26,2018-08-27 08:15:00,1.7015619999999998,1.7137555
2018-08-26,2018-08-27 08:30:00,2.288672,1.4898969
2018-08-26,2018-08-27 08:45:00,2.014453,1.2085396
2018-08-26,2018-08-27 09:00:00,0.6679689999999999,0.97397053
2018-08-26,2018-08-27 09:15:00,0.569531,0.76138073
2018-08-26,2018-08-27 09:30:00,0.569531,0.55572176
2018-08-26,2018-08-27 09:45:00,0.492188,0.3557556
2018-08-26,2018-08-27 10:00:00,0.428906,0.23270093
2018-08-26,2018-08-27 10:15:00,0.158203,0.14266066
2018-08-26,2018-08-27 10:30:00,0.035156,0.060088664
2018-08-26,2018-08-27 10:45:00,0.0,0.029199358
2018-08-26,2018-08-27 11:00:00,0.0,0.003266707
2018-08-26,2018-08-27 11:15:00,0.0,0.0027154647
2018-08-26,2018-08-27 11:30:00,0.0,0.012888439
2018-08-26,2018-08-27 11:45:00,0.0,0.03197877
2018-08-26,2018-08-27 12:00:00,0.0,0.014816292
2018-08-26,2018-08-27 12:15:00,0.0,0.0066855587
2018-08-26,2018-08-27 12:30:00,0.0,0.011264384
2018-08-26,2018-08-27 12:45:00,0.0,0.027217034
2018-08-26,2018-08-27 13:00:00,0.0,0.017937854
2018-08-26,2018-08-27 13:15:00,0.0,0.01224868
2018-08-26,2018-08-27 13:30:00,0.0,-0.0027883798
2018-08-26,2018-08-27 13:45:00,0.0,-0.026553676
2018-08-26,2018-08-27 14:00:00,0.0,-0.023214176
2018-08-26,2018-08-27 14:15:00,0.0,-0.039668977
2018-08-26,2018-08-27 14:30:00,0.0,-0.015106708
2018-08-26,2018-08-27 14:45:00,0.0,-0.031853013
2018-08-26,2018-08-27 15:00:00,0.0,-0.023929227
2018-08-26,2018-08-27 15:15:00,0.0,0.00787504
2018-08-26,2018-08-27 15:30:00,0.0,0.025624704
2018-08-26,2018-08-27 15:45:00,0.0,0.03810601
2018-08-26,2018-08-27 16:00:00,0.0,0.060633287
2018-08-26,2018-08-27 16:15:00,0.0,0.065246515
2018-08-26,2018-08-27 16:30:00,0.0,0.06415345
2018-08-26,2018-08-27 16:45:00,0.0,0.040698193
2018-08-26,2018-08-27 17:00:00,0.0,0.025650375
2018-08-26,2018-08-27 17:15:00,0.0,0.015082225
2018-08-26,2018-08-27 17:30:00,0.0,-0.007122457
2018-08-26,2018-08-27 17:45:00,0.0,-0.0269337
2018-08-26,2018-08-27 18:00:00,0.0,-0.033617385
2018-08-26,2018-08-27 18:15:00,0.0,-0.027299963
2018-08-26,2018-08-27 18:30:00,0.0,-0.024133667
2018-08-26,2018-08-27 18:45:00,0.0,-0.0190683
2018-08-26,2018-08-27 19:00:00,0.0,-0.017478123
2018-08-26,2018-08-27 19:15:00,0.0,0.010200053
2018-08-26,2018-08-27 19:30:00,0.0,0.0059325546
2018-08-26,2018-08-27 19:45:00,0.0,0.016181208
2018-08-26,2018-08-27 20:00:00,0.0,0.029458873
2018-08-26,2018-08-27 20:15:00,0.0,0.018688157
2018-08-26,2018-08-27 20:30:00,0.0,0.017002635
2018-08-26,2018-08-27 20:45:00,0.0,0.010779994
2018-08-26,2018-08-27 21:00:00,0.0,0.0056364015
2018-08-26,2018-08-27 21:15:00,0.0,-0.0014432557
2018-08-26,2018-08-27 21:30:00,0.0,-0.0053243586
2018-08-26,2018-08-27 21:45:00,0.0,-0.0035708398
2018-08-26,2018-08-27 22:00:00,0.0035159999999999,0.04340908
2018-08-26,2018-08-27 22:15:00,0.0,0.100487165
2018-08-26,2018-08-27 22:30:00,0.196875,0.17451756
2018-08-26,2018-08-27 22:45:00,0.319922,0.28031382
2018-08-26,2018-08-27 23:00:00,0.341016,0.40483567
2018-08-26,2018-08-27 23:15:00,0.551953,0.55011564
2018-08-26,2018-08-27 23:30:00,0.566016,0.73067325
2018-08-26,2018-08-27 23:45:00,0.73125,0.9309925
2018-08-26,2018-08-28 00:00:00,0.935156,1.1599646
2018-08-26,2018-08-28 00:15:00,1.873828,1.3862509
2018-08-26,2018-08-28 00:30:00,1.226953,1.6294084
2018-08-26,2018-08-27 01:00:00,2.285156,1.6482239
2018-08-26,2018-08-27 01:15:00,2.478516,1.7536067
2018-08-26,2018-08-27 01:30:00,2.657812,1.8551384
2018-08-26,2018-08-27 01:45:00,2.844141,1.9353849
2018-08-26,2018-08-27 02:00:00,3.121875,2.0502818
2018-08-26,2018-08-27 02:15:00,3.287109,2.1749089
2018-08-26,2018-08-27 02:30:00,2.309766,2.2763085
2018-08-26,2018-08-27 02:45:00,3.427734,2.3820229
2018-08-26,2018-08-27 03:00:00,2.211328,2.4480484
2018-08-26,2018-08-27 03:15:00,3.469922,2.5395408
2018-08-26,2018-08-27 03:30:00,3.15,2.6257942
2018-08-26,2018-08-27 03:45:00,3.410156,2.663564
2018-08-26,2018-08-27 04:00:00,4.151953,2.7703993
2018-08-26,2018-08-27 04:15:00,3.670312000000001,2.8296945
2018-08-26,2018-08-27 04:30:00,3.596484,2.8830752
2018-08-26,2018-08-27 04:45:00,3.723047,2.9416533
2018-08-26,2018-08-27 05:00:00,2.580469,2.9430552
2018-08-26,2018-08-27 05:15:00,2.696484,2.9803553
2018-08-26,2018-08-27 05:30:00,4.310156,3.0157504
2018-08-26,2018-08-27 05:45:00,2.844141,3.0450492
2018-08-26,2018-08-27 06:00:00,3.4839839999999995,3.0315745
2018-08-26,2018-08-27 06:15:00,3.596484,2.95402
2018-08-26,2018-08-27 06:30:00,3.336328,2.848758
2018-08-26,2018-08-27 06:45:00,3.3679690000000004,2.7844837
2018-08-26,2018-08-27 07:00:00,3.026953,2.6257772
2018-08-26,2018-08-27 07:15:00,3.055078,2.4511993
2018-08-26,2018-08-27 07:30:00,2.896875,2.2756417
2018-08-26,2018-08-27 07:45:00,2.735156,2.068418
2018-08-26,2018-08-27 08:00:00,2.376562,1.8595836
2018-08-26,2018-08-27 08:15:00,1.7015619999999998,1.6330366
2018-08-26,2018-08-27 08:30:00,2.288672,1.3813542
2018-08-26,2018-08-27 08:45:00,2.014453,1.1693926
2018-08-26,2018-08-27 09:00:00,0.6679689999999999,0.91314816
2018-08-26,2018-08-27 09:15:00,0.569531,0.7082665
2018-08-26,2018-08-27 09:30:00,0.569531,0.5384221
2018-08-26,2018-08-27 09:45:00,0.492188,0.37999696
2018-08-26,2018-08-27 10:00:00,0.428906,0.2267572
2018-08-26,2018-08-27 10:15:00,0.158203,0.14530349
2018-08-26,2018-08-27 10:30:00,0.035156,0.09353177
2018-08-26,2018-08-27 10:45:00,0.0,0.039875083
2018-08-26,2018-08-27 11:00:00,0.0,0.028637026
2018-08-26,2018-08-27 11:15:00,0.0,0.018360004
2018-08-26,2018-08-27 11:30:00,0.0,0.024055704
2018-08-26,2018-08-27 11:45:00,0.0,0.035883773
2018-08-26,2018-08-27 12:00:00,0.0,0.05539263
2018-08-26,2018-08-27 12:15:00,0.0,0.0350349
2018-08-26,2018-08-27 12:30:00,0.0,0.022644442
2018-08-26,2018-08-27 12:45:00,0.0,0.02084228
2018-08-26,2018-08-27 13:00:00,0.0,0.031266175
2018-08-26,2018-08-27 13:15:00,0.0,0.016842917
2018-08-26,2018-08-27 13:30:00,0.0,0.0091314465
2018-08-26,2018-08-27 13:45:00,0.0,-0.008233614
2018-08-26,2018-08-27 14:00:00,0.0,-0.029497087
2018-08-26,2018-08-27 14:15:00,0.0,-0.022773758
2018-08-26,2018-08-27 14:30:00,0.0,-0.034647018
2018-08-26,2018-08-27 14:45:00,0.0,-0.0056034625
2018-08-26,2018-08-27 15:00:00,0.0,-0.015937258
2018-08-26,2018-08-27 15:15:00,0.0,-0.0028053038
2018-08-26,2018-08-27 15:30:00,0.0,0.028832749
2018-08-26,2018-08-27 15:45:00,0.0,0.046387587
2018-08-26,2018-08-27 16:00:00,0.0,0.057618037
2018-08-26,2018-08-27 16:15:00,0.0,0.077131964
2018-08-26,2018-08-27 16:30:00,0.0,0.07699188
2018-08-26,2018-08-27 16:45:00,0.0,0.07093492
2018-08-26,2018-08-27 17:00:00,0.0,0.044145167
2018-08-26,2018-08-27 17:15:00,0.0,0.026202738
